student_id,age,gender,class_completed,state,city,school_type,socio_economic_status,internet_access,device_access,parental_education,extracurricular,quantitative_score,logical_score,verbal_score,creative_score,technical_score,suggested_stream,aggregate_percentage,top_recommended_course_1,top_recommended_course_2,recommended_career_1,recommended_career_2,prefers_government_college,simulated_govt_college_cutoff,scholarship_eligibility,dropout_risk_score,latitude,longitude,admission_year_predicted,admission_status_current,notifications_sent,seed_generated_on,assigned_college_id
STU202500015,20,Male,10,Kerala,CityE,Private (Aided),Middle,Yes,Computer,Graduate,Internship,32.1,44.0,77.1,66.7,65.4,Humanities,82.4,BA (Sociology),BJMC - Journalism,Journalist,Teacher,Yes,72.8,No,55,22.45245,77.634944,,Waitlisted,9,2025-10-07 20:53:56,COLL0375
STU202500016,20,Female,10,Odisha,CityA,Government,Lower-Middle,No,Smartphone,No formal education,None,60.7,60.6,32.4,32.1,83.6,Science (PCM),58.0,B.Sc (Physics),B.Tech/BE - Engineering,Engineer,Architect,No,52.3,No,72,22.190272,78.418329,,Not Applied,9,2025-10-07 20:53:56,COLL0636
STU202500017,20,Male,12,Jammu & Kashmir,CityB,Private,Lower-Middle,Yes,Shared Phone/Tablet,Primary,Volunteering,42.0,33.8,53.7,57.8,56.9,Commerce,75.5,BBA,BMS,Entrepreneur,Accountant,No,67.8,Need-based,60,23.720603,80.566051,2025.0,Not Applied,5,2025-10-07 20:53:56,COLL0130
STU202500018,19,Female,12,Uttar Pradesh,CityH,Private,Lower-Middle,Yes,Smartphone,Secondary,Arts,57.9,42.2,80.2,84.9,5.4,Commerce,61.3,BMS,B.Com,Business Analyst,Entrepreneur,Yes,62.9,Need-based,53,19.961719,75.102477,2025.0,Not Applied,8,2025-10-07 20:53:56,COLL0010
STU202500019,20,Female,12,Haryana,CityA,Private,Lower-Middle,No,Smartphone,Graduate,Debate,49.9,57.6,72.8,68.7,26.8,Humanities,56.3,BA (History),BA (Sociology),Journalist,Civil Services,Yes,63.1,No,60,23.389022,79.528881,2025.0,Applied,5,2025-10-07 20:53:56,COLL0686
STU202500020,16,Male,12,Gujarat,CityI,Private,Upper-Middle,No,Smartphone,Secondary,Debate,59.0,47.6,61.1,67.8,77.1,Science (PCB),80.9,MBBS/MBBS (NEET track),B.Sc Nursing,Clinical Researcher,Doctor,No,60.8,No,53,21.754511,77.154136,2025.0,Not Applied,11,2025-10-07 20:53:56,COLL0633
STU202500021,15,Male,12,Chhattisgarh,CityA,Government,Upper-Middle,Yes,Smartphone,No formal education,Debate,44.8,46.8,45.5,44.0,11.0,Vocational,93.4,ITI - Electrician,Certificate (Retail),Skilled Tradesperson,Technician,Yes,33.0,Merit-based,63,23.44495,79.292272,2025.0,Accepted,12,2025-10-07 20:53:56,COLL0832
STU202500022,15,Female,10,Telangana,CityD,Private,Middle,Yes,Smartphone,Graduate,None,41.9,38.6,81.5,83.1,63.7,Humanities,48.6,BA (Political Science),BA (Sociology),Journalist,Teacher,No,71.0,No,87,22.609031,77.99863,,Applied,11,2025-10-07 20:53:56,COLL0515
STU202500023,19,Female,12,Jharkhand,CityD,Government,Middle,Yes,Shared Phone/Tablet,Graduate,Arts,56.1,51.2,82.1,76.9,31.7,Commerce,56.1,BBA,CA Foundation,Banker,Business Analyst,No,57.1,No,49,22.489465,78.297161,2025.0,Accepted,3,2025-10-07 20:53:56,COLL0046
STU202500024,16,Male,10,Odisha,CityE,Private,High,Yes,Computer,Primary,Internship,49.5,42.9,85.0,89.9,18.5,Humanities,80.0,BA (Sociology),B.A. (Psychology),Teacher,Civil Services,No,84.9,Need-based,57,21.544189,77.35473,,Not Applied,9,2025-10-07 20:53:56,COLL0306
STU202500025,17,Female,10,West Bengal,CityJ,Private,Middle,Yes,Computer,Secondary,Coding Club,53.7,72.4,54.7,43.5,17.6,Vocational,66.1,ITI - Electrician,Certificate (Retail),Technician,Hospitality Manager,Yes,25.1,No,40,21.06292,76.146979,,Not Applied,12,2025-10-07 20:53:56,COLL0383
STU202500026,16,Female,12,Rajasthan,CityF,Private,Upper-Middle,No,Computer,Secondary,Sports,58.0,65.6,87.9,92.8,64.2,Commerce,67.2,BMS,B.Com (Hons),Entrepreneur,Business Analyst,Yes,71.8,No,63,21.424732,77.042687,2025.0,Not Applied,2,2025-10-07 20:53:56,COLL0324
STU202500027,15,Male,12,Kerala,CityC,Private,Lower-Middle,Yes,Smartphone,Primary,Coding Club,96.4,76.9,52.4,59.5,57.0,Science (PCM),60.3,Integrated M.Sc,B.Sc (Mathematics),Data Scientist,Researcher,Yes,58.7,Need-based,46,22.223191,78.254881,2025.0,Applied,7,2025-10-07 20:53:56,COLL0904
STU202500028,18,Female,12,Tamil Nadu,CityB,Government,Middle,Yes,Smartphone,Postgraduate,Arts,39.2,52.5,62.6,61.7,0.0,Humanities,83.6,B.A. (Psychology),BA (Political Science),Journalist,Teacher,Yes,84.9,No,66,20.815426,76.36484,2025.0,Applied,7,2025-10-07 20:53:56,COLL0105
STU202500029,15,Female,12,Assam,CityG,Private,Lower-Middle,No,Smartphone,Primary,Arts,46.0,57.6,81.4,76.1,39.8,Humanities,67.5,BA (History),BA (Sociology),Civil Services,Teacher,Yes,63.8,Need-based,66,22.643044,78.784743,2025.0,Waitlisted,8,2025-10-07 20:53:56,COLL0539
STU202500030,17,Male,12,West Bengal,CityH,Government,Lower-Middle,Yes,Smartphone,Primary,Internship,65.1,63.8,51.6,75.9,28.7,Humanities,65.6,BA (Sociology),BJMC - Journalism,Civil Services,Teacher,No,64.2,Need-based,49,20.167804,75.830795,2025.0,Not Applied,4,2025-10-07 20:53:56,COLL0867
STU202500031,19,Female,12,Gujarat,CityI,Private,Low,Yes,Computer,Primary,Debate,69.2,75.5,54.8,44.0,51.9,Commerce,56.2,B.Com (Hons),B.Com,Business Analyst,Accountant,Yes,64.9,No,48,21.352351,76.903584,2025.0,Not Applied,11,2025-10-07 20:53:56,COLL0329
STU202500032,18,Male,10,Odisha,CityI,Private,Low,No,Smartphone,Graduate,Volunteering,74.0,79.0,55.9,56.7,14.0,Science (PCM),64.2,B.Tech/BE - Engineering,B.Arch,Data Scientist,Engineer,No,68.3,Need-based,58,22.013305,77.147162,,Not Applied,6,2025-10-07 20:53:56,COLL0668
STU202500033,20,Female,12,Jharkhand,CityI,Private,Lower-Middle,Yes,Smartphone,Primary,Coding Club,78.8,74.0,43.7,60.0,0.0,Science (PCM),91.0,B.Arch,B.Tech/BE - Engineering,Data Scientist,Researcher,No,73.4,Merit-based,49,22.395297,78.235541,2025.0,Accepted,11,2025-10-07 20:53:56,COLL0444
STU202500034,18,Male,12,Madhya Pradesh,CityJ,Private,Upper-Middle,Yes,Computer,No formal education,Coding Club,69.7,75.0,69.3,82.9,36.5,Commerce,45.1,BBA,CA Foundation,Business Analyst,Accountant,Yes,46.6,No,74,20.030697,76.342818,2025.0,Not Applied,7,2025-10-07 20:53:56,COLL0162
STU202500035,16,Male,12,Kerala,CityE,Private,Middle,Yes,Smartphone,No formal education,None,62.0,62.2,56.7,47.4,50.6,Commerce,72.9,B.Com,BMS,Business Analyst,Banker,Yes,76.6,Need-based,56,23.045955,77.769796,2025.0,Waitlisted,0,2025-10-07 20:53:56,COLL0443
STU202500036,20,Female,12,Rajasthan,CityA,Private,Low,Yes,Smartphone,Postgraduate,Coding Club,83.9,76.8,52.6,45.4,42.3,Science (PCM),57.0,B.Sc (Mathematics),Integrated M.Sc,Researcher,Architect,No,61.7,No,42,20.794265,76.332474,2025.0,Not Applied,1,2025-10-07 20:53:56,COLL0397
STU202500037,18,Female,10,Andhra Pradesh,CityB,Private,Upper-Middle,Yes,Shared Phone/Tablet,Primary,Volunteering,23.6,27.2,64.7,76.4,68.5,Humanities,85.2,BA (Political Science),BA (History),Journalist,Teacher,No,77.5,Merit-based,49,21.777917,77.165334,,Not Applied,10,2025-10-07 20:53:56,COLL0712
STU202500038,15,Female,10,Delhi,CityA,Government,Lower-Middle,Yes,Smartphone,Primary,Internship,64.1,64.0,78.3,70.2,78.8,Science (PCB),63.4,B.Sc Nursing,B.Sc (Biology),Doctor,Biotechnologist,No,56.8,Need-based,55,23.702737,80.073459,,Not Applied,7,2025-10-07 20:53:56,COLL0990
STU202500039,19,Female,10,Haryana,CityE,Private,Upper-Middle,No,Smartphone,Graduate,None,58.1,58.6,47.3,54.8,23.3,Commerce,66.0,BMS,BBA,Accountant,Business Analyst,No,63.8,No,63,23.413484,78.662607,,Applied,7,2025-10-07 20:53:56,COLL0888
STU202500040,16,Female,12,Odisha,CityA,Private,Lower-Middle,Yes,Smartphone,Primary,Debate,43.1,40.1,59.1,83.7,52.9,Vocational,86.5,Diploma (Hospitality),Certificate (Retail),Technician,Hospitality Manager,No,46.7,Merit-based,58,22.307974,77.549826,2025.0,Applied,11,2025-10-07 20:53:56,COLL0060
STU202500041,15,Male,12,Karnataka,CityH,Private,Lower-Middle,No,Smartphone,Primary,Volunteering,47.9,73.3,78.7,74.1,78.7,Humanities,71.7,BA (Political Science),B.A. (Psychology),Social Worker,Journalist,Yes,67.5,Need-based,65,21.416221,76.822105,2025.0,Not Applied,11,2025-10-07 20:53:56,COLL0804
STU202500042,16,Female,10,Assam,CityE,Government,Low,No,Smartphone,Graduate,Internship,36.7,16.3,50.4,59.0,87.6,Mixed,66.9,Foundation Courses,Diploma,Administrative Staff,Junior Technician,Yes,74.9,Need-based,55,22.288985,78.483336,,Not Applied,12,2025-10-07 20:53:56,COLL0584
STU202500043,19,Female,10,West Bengal,CityD,Government,Lower-Middle,Yes,Computer,No formal education,Sports,57.9,61.9,74.1,56.8,46.9,Commerce,66.9,B.Com,BMS,Business Analyst,Banker,No,55.7,Need-based,58,20.82421,75.662792,,Not Applied,0,2025-10-07 20:53:56,COLL0488
STU202500044,17,Female,12,Assam,CityF,Government,Low,No,Smartphone,Graduate,Coding Club,66.4,66.6,31.8,37.8,37.4,Humanities,81.7,BA (History),BA (Sociology),Journalist,Teacher,No,69.2,Need-based,64,23.304878,79.214491,2025.0,Waitlisted,1,2025-10-07 20:53:56,COLL0748
STU202500045,18,Other,10,Jharkhand,CityJ,Private,Middle,No,Smartphone,Postgraduate,Debate,48.0,36.1,88.4,88.8,32.5,Humanities,70.0,BA (Sociology),BJMC - Journalism,Social Worker,Civil Services,No,64.2,No,58,22.78425,78.477252,,Not Applied,11,2025-10-07 20:53:56,COLL0512
STU202500046,19,Male,12,Rajasthan,CityE,Private,Low,Yes,Smartphone,No formal education,Coding Club,58.4,61.6,54.4,55.1,54.8,Mixed,89.0,Integrated programs,Foundation Courses,Administrative Staff,Counselor,Yes,72.7,Merit-based,50,21.460055,76.641311,2025.0,Not Applied,7,2025-10-07 20:53:56,COLL0071
STU202500047,17,Male,10,Gujarat,CityJ,Private,Upper-Middle,Yes,Smartphone,Secondary,Debate,40.5,41.3,80.9,51.4,29.7,Science (PCB),53.6,MBBS/MBBS (NEET track),B.Sc Nursing,Biotechnologist,Pharmacist,Yes,55.5,No,49,21.281621,76.803688,,Accepted,4,2025-10-07 20:53:56,COLL0334
STU202500048,16,Male,12,Andhra Pradesh,CityG,Private (Aided),Lower-Middle,Yes,Smartphone,No formal education,Coding Club,29.9,32.0,49.1,23.7,83.6,Vocational,42.0,Diploma (Hospitality),Certificate (Retail),Hospitality Manager,Technician,Yes,70.7,No,70,21.920468,77.744085,2025.0,Waitlisted,9,2025-10-07 20:53:56,COLL0349
STU202500049,15,Female,10,Gujarat,CityJ,Government,Middle,Yes,Computer,Postgraduate,Arts,21.9,32.5,67.1,63.6,14.6,Humanities,72.7,BA (Sociology),BJMC - Journalism,Civil Services,Teacher,Yes,51.8,No,54,21.414873,76.622347,,Not Applied,5,2025-10-07 20:53:56,COLL0923
STU202500050,18,Female,12,Odisha,CityG,Private,Lower-Middle,No,None,Secondary,Coding Club,72.4,73.8,85.5,84.6,64.2,Science (PCM),79.2,B.Tech/BE - Engineering,B.Sc (Mathematics),Architect,Researcher,Yes,57.4,Need-based,88,21.870762,77.64837,2025.0,Accepted,8,2025-10-07 20:53:56,COLL0966
STU202500051,16,Female,10,Chhattisgarh,CityH,Private,Low,Yes,None,Secondary,Internship,44.3,26.2,27.3,27.9,56.5,Science (PCM),54.0,B.Sc (Physics),B.Sc (Mathematics),Researcher,Data Scientist,Yes,61.5,No,48,23.380176,78.886695,,Not Applied,1,2025-10-07 20:53:56,COLL0596
STU202500052,17,Male,12,Karnataka,CityC,Government,Low,Yes,Smartphone,Graduate,Sports,26.9,39.3,90.1,66.8,15.0,Humanities,64.7,BJMC - Journalism,BA (History),Journalist,Civil Services,No,58.3,Need-based,56,21.378498,76.442854,2025.0,Not Applied,11,2025-10-07 20:53:56,COLL0284
STU202500053,20,Male,12,Punjab,CityD,Private,Low,Yes,Smartphone,Graduate,Arts,26.1,15.8,57.9,59.0,62.2,Science (PCM),84.9,B.Sc (Mathematics),B.Arch,Architect,Data Scientist,Yes,71.6,Need-based,50,22.821645,78.926499,2025.0,Applied,11,2025-10-07 20:53:56,COLL0049
STU202500054,20,Male,12,Punjab,CityC,Private,Lower-Middle,Yes,None,Primary,Debate,50.0,54.6,66.1,50.6,43.1,Science (PCB),73.2,B.Sc (Biology),B.Sc (Microbiology),Pharmacist,Doctor,No,78.6,Need-based,65,23.531713,78.630488,2025.0,Not Applied,5,2025-10-07 20:53:56,COLL0125
STU202500055,17,Female,12,Kerala,CityG,Central (KVS/JNV),Middle,Yes,Smartphone,Postgraduate,Arts,70.7,92.8,89.0,70.0,19.7,Science (PCM),42.3,Integrated M.Sc,B.Sc (Mathematics),Engineer,Researcher,Yes,45.9,No,75,22.472605,77.540856,2025.0,Waitlisted,0,2025-10-07 20:53:56,COLL0168
STU202500056,20,Female,10,Madhya Pradesh,CityB,Private,High,Yes,Computer,Secondary,Internship,61.0,66.7,40.1,35.3,62.7,Commerce,85.8,B.Com (Hons),CA Foundation,Banker,Entrepreneur,No,79.7,Merit-based,50,20.653781,76.121146,,Accepted,8,2025-10-07 20:53:56,COLL0850
STU202500057,15,Male,10,Andhra Pradesh,CityD,Private,Lower-Middle,Yes,Computer,Graduate,Coding Club,75.5,82.7,49.0,43.9,48.7,Science (PCM),95.5,B.Sc (Physics),B.Sc (Mathematics),Engineer,Data Scientist,Yes,74.9,Merit-based,51,21.126559,77.452743,,Applied,5,2025-10-07 20:53:56,COLL0200
STU202500058,19,Male,10,Haryana,CityG,Private,Middle,Yes,Smartphone,Graduate,None,53.1,43.4,47.4,52.0,68.9,Mixed,54.6,Foundation Courses,Integrated programs,Counselor,Administrative Staff,Yes,63.4,No,59,23.32403,79.563039,,Not Applied,7,2025-10-07 20:53:56,COLL0474
STU202500059,17,Male,10,Assam,CityE,Private,Low,Yes,Smartphone,Secondary,Volunteering,79.3,82.9,53.1,57.0,39.8,Science (PCM),49.8,B.Arch,B.Sc (Mathematics),Data Scientist,Researcher,Yes,60.6,No,64,22.71935,78.368041,,Not Applied,7,2025-10-07 20:53:56,COLL0986
STU202500060,18,Male,10,Telangana,CityJ,Government,Middle,Yes,None,Primary,Sports,42.2,44.3,44.8,60.4,34.3,Vocational,59.5,Diploma (Automobile),Diploma (Hospitality),Retail Supervisor,Skilled Tradesperson,No,49.2,No,62,21.829517,77.420193,,Applied,12,2025-10-07 20:53:56,COLL0350
STU202500061,17,Male,12,Jammu & Kashmir,CityE,Private,Middle,Yes,None,Secondary,Volunteering,27.5,42.8,52.3,47.2,24.7,Mixed,36.5,Diploma,Foundation Courses,Junior Technician,Administrative Staff,Yes,54.0,No,85,23.413012,79.361476,,Not Applied,1,2025-10-07 20:53:56,COLL0828
STU202500062,16,Female,10,Jharkhand,CityC,Government,Middle,No,Smartphone,Secondary,Debate,60.9,68.7,63.0,44.7,76.0,Commerce,58.5,BBA,BMS,Entrepreneur,Business Analyst,No,52.9,No,59,22.623523,77.80459,,Not Applied,1,2025-10-07 20:53:56,COLL0574
STU202500063,15,Male,10,Karnataka,CityG,Private (Aided),Middle,Yes,None,No formal education,None,43.6,42.0,55.0,56.9,33.1,Science (PCM),68.7,B.Arch,B.Sc (Mathematics),Architect,Data Scientist,Yes,58.9,Need-based,64,21.365547,76.796511,,Not Applied,5,2025-10-07 20:53:56,COLL0928
STU202500064,19,Male,10,Uttar Pradesh,CityJ,Private,Lower-Middle,No,Smartphone,No formal education,Internship,32.2,46.8,60.2,74.2,76.0,Humanities,51.4,BJMC - Journalism,B.A. (Psychology),Civil Services,Teacher,Yes,72.7,No,73,19.83087,73.929538,,Waitlisted,4,2025-10-07 20:53:56,COLL0043
STU202500065,17,Other,10,Karnataka,CityI,Government,Lower-Middle,Yes,Computer,Postgraduate,Coding Club,51.8,48.1,31.1,21.7,22.2,Vocational,91.9,ITI - Electrician,Certificate (Retail),Technician,Skilled Tradesperson,No,54.4,Merit-based,63,21.616502,76.411284,,Waitlisted,4,2025-10-07 20:53:56,COLL0395
STU202500066,19,Male,10,Assam,CityH,Private (Aided),Upper-Middle,Yes,Computer,Secondary,Volunteering,27.2,37.4,71.4,73.4,92.9,Humanities,71.1,B.A. (Psychology),BA (History),Civil Services,Journalist,Yes,74.3,No,52,22.717257,78.182741,,Applied,7,2025-10-07 20:53:56,COLL0938
STU202500067,16,Male,10,Jammu & Kashmir,CityA,Government,Lower-Middle,Intermittent,None,Primary,Internship,63.9,51.4,70.7,68.5,36.9,Commerce,83.3,B.Com (Hons),BBA,Business Analyst,Accountant,Yes,66.7,Need-based,55,23.333011,79.931803,,Applied,9,2025-10-07 20:53:56,COLL0857
STU202500068,19,Male,12,Madhya Pradesh,CityC,Private,Middle,Yes,Shared Phone/Tablet,No formal education,Debate,79.3,72.6,71.1,66.8,41.1,Science (PCM),71.4,B.Sc (Physics),B.Sc (Mathematics),Engineer,Data Scientist,Yes,67.7,Need-based,50,20.399714,75.963566,2025.0,Applied,6,2025-10-07 20:53:56,COLL0553
STU202500069,16,Female,12,Punjab,CityH,Private,Lower-Middle,Yes,Smartphone,Postgraduate,Sports,96.8,100.0,44.4,39.4,17.8,Science (PCM),71.2,Integrated M.Sc,B.Sc (Mathematics),Data Scientist,Architect,No,54.2,Need-based,53,23.601672,78.965277,2025.0,Applied,7,2025-10-07 20:53:56,COLL0049
STU202500070,16,Female,10,West Bengal,CityH,Private,Lower-Middle,No,Smartphone,No formal education,Arts,47.9,51.0,47.8,40.0,72.8,Vocational,54.2,Diploma (Hospitality),Certificate (Retail),Hospitality Manager,Skilled Tradesperson,No,52.1,No,50,21.428229,75.685294,,Not Applied,7,2025-10-07 20:53:56,COLL0874
STU202500071,15,Male,10,West Bengal,CityI,Private,Low,Yes,Smartphone,Primary,Coding Club,24.9,12.1,44.4,44.7,62.9,Vocational,54.5,Certificate (Retail),ITI - Electrician,Technician,Skilled Tradesperson,Yes,46.9,No,44,20.416545,75.328002,,Not Applied,5,2025-10-07 20:53:56,COLL0312
STU202500072,17,Female,12,Punjab,CityB,Government,Low,Yes,Computer,Primary,Arts,82.1,73.3,64.8,43.7,100.0,Science (PCM),63.3,Integrated M.Sc,B.Tech/BE - Engineering,Architect,Data Scientist,Yes,62.3,Need-based,56,23.18227,78.294246,2025.0,Not Applied,10,2025-10-07 20:53:56,COLL0889
STU202500073,17,Female,10,Maharashtra,CityE,Private,Lower-Middle,Yes,Smartphone,Secondary,Arts,64.7,54.3,19.0,14.8,23.9,Science (PCM),43.7,B.Sc (Mathematics),Integrated M.Sc,Engineer,Researcher,Yes,57.2,No,86,19.960915,75.227269,,Accepted,8,2025-10-07 20:53:56,COLL0706
STU202500074,16,Female,12,Jammu & Kashmir,CityI,Government,Upper-Middle,No,Smartphone,Primary,Volunteering,69.4,79.1,65.6,46.7,31.8,Commerce,62.7,BMS,B.Com (Hons),Banker,Accountant,Yes,60.8,No,69,23.85331,79.349397,2025.0,Applied,10,2025-10-07 20:53:56,COLL0285
STU202500075,17,Male,10,Uttar Pradesh,CityB,Private,Low,Yes,Smartphone,Primary,Volunteering,72.7,78.9,76.9,89.6,38.7,Science (PCM),78.3,B.Sc (Mathematics),B.Tech/BE - Engineering,Engineer,Data Scientist,Yes,58.5,Need-based,49,20.245545,75.040154,,Not Applied,10,2025-10-07 20:53:56,COLL0640
STU202500076,20,Male,10,Jharkhand,CityH,Private,Lower-Middle,Yes,Smartphone,Primary,Sports,64.4,58.6,51.7,49.9,83.9,Commerce,63.6,B.Com (Hons),CA Foundation,Banker,Accountant,Yes,71.3,Need-based,31,23.004357,78.639222,,Waitlisted,0,2025-10-07 20:53:56,COLL0674
STU202500077,17,Male,10,Rajasthan,CityC,Private,Lower-Middle,Yes,Smartphone,Secondary,Arts,42.6,70.0,56.4,68.5,0.0,Humanities,48.5,BA (Sociology),BA (Political Science),Social Worker,Teacher,Yes,63.6,No,77,21.812719,76.645553,,Not Applied,6,2025-10-07 20:53:56,COLL0769
STU202500078,19,Male,12,Odisha,CityJ,Private,Lower-Middle,Yes,Smartphone,Secondary,Debate,73.6,76.5,32.1,39.1,67.8,Science (PCM),67.6,B.Sc (Physics),B.Arch,Architect,Engineer,Yes,72.4,Need-based,45,21.847043,76.754617,2025.0,Applied,6,2025-10-07 20:53:56,COLL0668
STU202500079,15,Female,12,Kerala,CityE,Private,Low,No,Smartphone,Secondary,None,29.1,34.8,41.3,38.9,57.2,Vocational,30.3,ITI - Electrician,Certificate (Retail),Hospitality Manager,Retail Supervisor,No,26.4,No,82,22.536369,78.223211,,Not Applied,2,2025-10-07 20:53:56,COLL0894
STU202500080,19,Male,10,Rajasthan,CityC,Private,Middle,Yes,Smartphone,Graduate,Coding Club,57.4,59.7,81.4,69.4,74.6,Science (PCB),64.9,B.Sc Nursing,B.Sc (Microbiology),Pharmacist,Clinical Researcher,No,62.1,No,54,20.863183,76.614723,,Not Applied,10,2025-10-07 20:53:56,COLL0221
STU202500081,18,Female,10,Odisha,CityC,Private,Lower-Middle,Yes,None,Secondary,Debate,55.3,48.7,46.9,54.1,46.8,Vocational,60.7,Diploma (Automobile),ITI - Electrician,Retail Supervisor,Skilled Tradesperson,Yes,49.7,Need-based,63,21.625247,77.671444,,Not Applied,4,2025-10-07 20:53:56,COLL0959
STU202500082,15,Male,12,Bihar,CityJ,Private,Lower-Middle,Yes,Shared Phone/Tablet,Graduate,Sports,51.3,39.5,68.5,81.1,58.6,Commerce,58.5,CA Foundation,BBA,Banker,Entrepreneur,Yes,54.3,No,45,21.107213,75.781351,2025.0,Applied,0,2025-10-07 20:53:56,COLL0116
STU202500083,20,Male,12,Odisha,CityB,Private,Low,Yes,Smartphone,Secondary,None,55.6,66.9,29.6,21.0,34.9,Vocational,64.2,ITI - Electrician,Certificate (Retail),Hospitality Manager,Skilled Tradesperson,Yes,50.1,Need-based,48,21.728189,77.792455,2025.0,Accepted,10,2025-10-07 20:53:56,COLL0354
